baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	29.7465155422571	0.187164382392645	0.150536431250094	1.2433161915583	0.213751339922855	NA
ENSG00000000005	0.670867146372371	-0.0215272805360751	1.69808905880174	-0.0126773565994624	0.989885203832091	NA
ENSG00000000419	113.645416667601	-0.0960941823999189	0.104769484085339	-0.917196292783559	0.359039789107575	NA
ENSG00000000457	64.5582374746001	-0.0270873084739078	0.098471350959859	-0.27507806290735	0.783256264949897	NA
ENSG00000000460	4.05869940169045	0.14329491805712	0.388629336857453	0.368718736510825	0.712337381580291	NA
ENSG00000000938	9.95783184639599	-0.86053911216888	0.668055002077	-1.28812614155039	0.197702056781861	NA
ENSG00000000971	99.235630175747	0.317002722563765	0.257989035645237	1.2287449417024	0.219167450406227	NA
ENSG00000001036	28.1673533225859	-0.0716058754756281	0.159892144633201	-0.447838607955974	0.654269677733459	NA
ENSG00000001084	60.1537160390929	0.142803147081526	0.113982998816148	1.25284602585218	0.210261747795404	NA
ENSG00000001167	41.8231119733795	0.109813182510057	0.128230458605892	0.85637362373912	0.391791149402192	NA
ENSG00000001460	1.15958205602656	0.658699691323218	0.659657719677848	0.998547688708779	0.318013851860072	NA
ENSG00000001461	54.6857030209099	-0.105281765329715	0.133688082317649	-0.787517956010178	0.430978721350361	NA
ENSG00000001497	40.2573639294106	0.014503113515951	0.123274788065342	0.117648659093728	0.906346048257123	NA
ENSG00000001561	265.566181967423	0.0371942730794377	0.125801612858088	0.29565815758972	0.76749115465766	0.904444293603605
ENSG00000001617	30.208753269284	0.351937093678628	0.145855648960179	2.41291370055001	0.0158255661808373	NA
ENSG00000001626	0.0524068476933387	-0.36114412208651	4.92762083257525	-0.0732897547025286	0.941575544338349	NA
ENSG00000001629	150.587589638369	-0.0894445306137358	0.0729617423832511	-1.22591001382484	0.220232540025225	NA
ENSG00000001630	65.3816376546721	0.300386019617617	0.182034382421497	1.65016089609972	0.0989100323802416	NA
ENSG00000001631	138.896656930293	-0.107083430480907	0.0724091265341235	-1.47886648557268	0.139176002166655	NA
ENSG00000002016	39.5626032957901	-0.0753305106454431	0.145284319486285	-0.518504067829251	0.604106622659977	NA
ENSG00000002330	40.8270363504517	-0.00150878870004446	0.144713113577654	-0.0104260675673655	0.991681352368551	NA
ENSG00000002549	170.300154510582	0.0222369695297924	0.0921524833882412	0.241306242785746	0.809317772792328	NA
ENSG00000002586	225.985210076613	0.0748214933762615	0.124516723424972	0.600895135353808	0.547909833506679	0.771820312267908
ENSG00000002587	2.39895920086847	-0.163778444908404	0.524529536564448	-0.312238746327073	0.754859087693922	NA
ENSG00000002726	1.27836032914018	0.515608386858069	0.610795483838902	0.844158806835679	0.398580669910173	NA
ENSG00000002745	0	NA	NA	NA	NA	NA
ENSG00000002746	15.967226346085	0.34843245189909	0.352432808679789	0.988649306528289	0.322834753321101	NA
ENSG00000002822	70.8215614353434	-0.0324257585313052	0.0964959970603611	-0.336032162153026	0.736846613343867	NA
ENSG00000002834	91.2609580820088	0.19383179773388	0.191686955963562	1.01118929433428	0.311925838727502	NA
ENSG00000002919	25.1895529699331	-0.0631466140119788	0.156843193798765	-0.40260984542943	0.687235265684183	NA
ENSG00000002933	2.97944381100994	0.240963319474622	0.507595050432531	0.474715660188752	0.634989654362019	NA
ENSG00000003056	118.433358376265	0.101577651965132	0.108999346221586	0.93191065346974	0.351382701455214	NA
ENSG00000003096	22.0267392145387	-0.238111285030992	0.176761473214502	-1.34707683015315	0.177955489509506	NA
ENSG00000003137	13.9892080631819	1.57975815237858	0.380991862953492	4.14643541237895	3.37691379328225e-05	NA
ENSG00000003147	5.64646923036177	0.0279963363880092	0.332105056893659	0.0842996389451959	0.932818199461881	NA
ENSG00000003249	87.6672946309348	0.325567474320821	0.29720415031692	1.095433808625	0.273326629257163	NA
ENSG00000003393	197.920480032165	-0.16573843416458	0.0742923596464344	-2.23089473740433	0.0256881024199851	NA
ENSG00000003400	38.071093111446	0.0917458595826177	0.139600802845934	0.657201518274003	0.511051349477305	NA
ENSG00000003402	1483.2105124736	0.0670386122296308	0.0820516838485264	0.817029085635697	0.413911806552441	0.690125315981155
ENSG00000003436	78.9195551411544	0.255623560896277	0.174427558742479	1.46549984841372	0.14278459369122	NA
ENSG00000003509	67.0234347019509	0.0188150040581797	0.126972720444117	0.148181467581145	0.882199557075029	NA
ENSG00000003756	244.421182233309	0.048524360067496	0.0820587314969026	0.591336950770773	0.554294676101838	0.775769834040723
ENSG00000003987	0.137359104520556	-0.681739448320586	3.74627084402223	-0.181978152863242	0.855599871105337	NA
ENSG00000003989	2496.02881927259	0.0541868769514205	0.0868631853867245	0.623818671974492	0.532746675710735	0.762301762614633
ENSG00000004059	142.158660798223	-0.0299729908798087	0.0730081162312701	-0.410543271447551	0.681407467935452	NA
ENSG00000004139	19.4244637776405	0.179330897023687	0.170738871137055	1.0503226115378	0.293569812611698	NA
ENSG00000004142	712.640985872878	-0.075472864764732	0.0720446443071114	-1.04758466768198	0.294830004536668	0.595012092817885
ENSG00000004399	119.446161791778	0.217454856912376	0.158480112243373	1.37212710058179	0.170023874264287	NA
ENSG00000004455	259.293908826344	0.0697521943811047	0.0881438635737813	0.791344871361558	0.42874277060648	0.703861723558553
ENSG00000004468	239.888139675017	-0.436844097335211	0.161053975615941	-2.71240803379444	0.00667963136151276	0.148520151229462
ENSG00000004478	238.143352511586	-0.0255993254270767	0.121730750801157	-0.210294648300432	0.833437711941102	0.935329087692418
ENSG00000004487	253.422721386503	-0.0349153231205701	0.0572446314799615	-0.609931834966781	0.541906963024123	0.765555858813637
ENSG00000004534	73.5058418786461	0.0281663572738987	0.122386903621897	0.230141922381795	0.81798148971181	NA
ENSG00000004660	8.10267397668611	-0.548491877763508	0.320489165096705	-1.71142096987274	0.0870034288306847	NA
ENSG00000004700	89.9266895966388	0.00056249153077933	0.0848622785367299	0.0066282869194453	0.994711430927262	NA
ENSG00000004766	123.444349588637	0.00622119575338037	0.0871935019477868	0.0713493048725781	0.943119755571681	NA
ENSG00000004776	308.501984478321	-0.262321947842636	0.372926742422658	-0.703414150828938	0.481797690336969	0.737871659338019
ENSG00000004777	4.99079880179556	0.227132271310309	0.335784434240814	0.676422871786299	0.498772199878161	NA
ENSG00000004779	356.488879466116	-0.148235600942916	0.131179638624735	-1.13001989102114	0.258467843072702	0.569743340290431
ENSG00000004799	3903.12241484765	0.817889191342592	0.477200495560068	1.7139319823687	0.086541218460134	0.367381458180542
ENSG00000004809	0	NA	NA	NA	NA	NA
ENSG00000004838	1.53009961942672	0.0158434023880379	0.619903875891351	0.0255578372780084	0.979610016052466	NA
ENSG00000004846	2.82421609316454	0.282375785480734	0.442852662161029	0.637629192749569	0.523715087812097	NA
ENSG00000004848	60.1283308728866	-0.116362840960481	0.148346392692971	-0.784399531718406	0.432805713094348	NA
ENSG00000004864	29.7940014913105	0.0772267997172489	0.148573088809252	0.519789958842396	0.603209978629503	NA
ENSG00000004866	41.2076980673495	0.27139224387974	0.124774850412761	2.17505565409986	0.0296259460710608	NA
ENSG00000004897	302.877018412593	-0.0917621160574204	0.0893528026100093	-1.02696405011409	0.304437392411601	0.605323804351839
ENSG00000004939	13.2691649432315	0.0493645830107673	0.571060753716483	0.086443662411575	0.93111373922137	NA
